model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,200,100,D1_to_D2,0,10640: Support polygerrit plugins in CUSTOM_PLUGINS,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,200,100,D1_to_D2,1,test-patch: [exec],0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,200,100,D1_to_D2,2,I would expect it to throw an exception like it currently is. The point is that chaos monkey actions shouldn't be trying to avoid exceptions. It should be issuing commands at will and not trying to protect the cluster at all. Anything else can hide bugs.,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,3,"displays the file instead of directory (a boolean) automagically attempt to reconnect if from their destinations. This should probably be shared with Consumers, and could maybe done more cleanly using camel's try/catch features, but there you go. Smarter directory/file building/handling. This lets you handle URI's like similarly, avoid putting files in '/' on servers that expose the full filesystem, etc. More verbose logging. Stuff like ""what file went where,"" reconnection attempts, etc.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,4,"Looks great, push it.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,5,Does it happen all the time when you load gmail? What happens when you disable labs? Do you see this issue with any other browser? What happens when you disable labs and enable it back?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,6,I just made the changes and ran tests. There's one issue. In as I mentioned before this.closed is being set to true in the abort() method and I changed this to call close(stopProxy) method indeed instead of manipulating this.closed to true. But unfortunatly TestMergeTool started failing because of this change. So my question is that was this intended closed in the first place ??,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,7,"Now that Connection and ConnectionFactory are in place, internal code should use them instead of HTable constructors as per HBASE-11825.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,8,"I tried to figure out how i could edit the wiki page myself - i created an account but do not have edit rights, or I could not find the edit button. Type converts has a broken link: In the chapter ""Discovering Type Converts"" the link for @Converter is missing the h in http so the link is broken.",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,9,6225: diff output wraps at spurious positions,1,0,,"```python
""NON_SATD"
Prompt_LLM,200,100,D1_to_D2,10,I use this on the Gwt UI basically every review.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,11,"17658: New ""New Tab"" Page missing thumbnail if a query string is added to url containing ""\""",0,1,,"SATD

Explanation:
The comment explicitly"
Prompt_LLM,200,100,D1_to_D2,12,That's MAX_PATH for non-UNICODED paths in NTFS; paths that don't begin {{\\?\}} see,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,13,Committed.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,14,"Just realised pre-commit is not running for branch-1 patches submitted here. , would you mind open a PR for branch-1 instead?",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,15,"I was able to create a project (product/xy) from the CLI using gerrit create-project. But the old UI gives me ""The page you requested was not found, or you do not have permission to view this page."" when I wan't to view the project in Projects I can clone the repository though...",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,16,update the hudson-test-patch target to work with the latest test-patch script.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,17,"After upgrading to Camel 1.17.0 my Routes are crashing with stacktraces like the following (seems to be related to this issue, my own packages are masked with **): 14:32:31 | [main] CamelApp | ERROR | Camel App crashed, Reason: Error creating bean with name 'camelContext' defined in class Invocation of init method failed; nested exception is Cannot add component as its already previously added: properties Error creating bean with name 'camelContext' defined in class Invocation of init method failed; nested exception is Cannot add component as its already previously added: properties Related cause: Error creating bean with name 'camelContext': Requested bean is currently in creation: Is there an unresolvable circular reference? Caused by: Cannot add component as its already previously added: properties t ... 12 more Related cause: Error creating bean with name 'camelContext': Requested bean is currently in creation: Is there an unresolvable circular reference? Method)",0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,18,As a reminder: 2.9 hasn't been released (or even proposed + branch cut) yet.,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,19,Bryan can you revert THRIFT-959? We noticed the same slowdown,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,20,"Use get.setTimeStamp instead of get.setTimeRange This patch rearranges getRowWithColumnsTs a bit, because the original version was unneccessary repetitive.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,21,The current java transport client is due EOL in near future and it will be a good idea we switch the the new high level rest client instead. The new high level rest client is only released from version 5.6.0 and towards so an general upgrade of the dependencies is required for the ELK component. This also add the support for basic authentication without the need of x-pack. This is usefull when running ELK behind a reverse proxy.,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,22,"There's been a mail in the mailing list about camel-xstream not being blueprint friendly. Even though in the current trunk, it does work its a nice chance to add an integration test for it.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,23,"The default value of is ""kerberos"". It makes sense for that to be ""simple"" since not all users have kerberos infrastructure set up, and it is inconvenient to have it set it to ""simple"" manually.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,24,Url: Description: The stylesheet rules are forced into lowercase. It should retain the case that is specified in the CSS file. Steps to reproduce: 1. Open the attached url. 2. Click the test button. 3. Observe that the CSS rule text is all lowercase instead of the original values. Expected result: The CSS rule should be the same case as the one inside the stylesheet. Actual result: The CSS rule is forced into lowercase it's not impossible to get the original case for a class.,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,25,logs NULL header values to WARN,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,26,"It would be useful to allow clients that have security turned on to talk to servers that have security turned off. (This does *not* mean protocol compatibility between versions, but rather with the same version with different configurations.)",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,27,"the static method getReferencedPath() contains almost the same code done internally by the FileLink, and is only used by ExportSnapshot. Remove that code and use the class directly",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,28,"2.13.1-817-ga31c1aa (I think - this is in the status bar?) 1. Upload a review. 2. Open the 'Add Reviewer' dialog (I've been using the 'a' shortcut). 3. Start typing the email address of one reviewer. Once the auto-completion popup appears, select their name. 4. Start typing a second reviewer's email address. No completion occurs, and the reviewer can't be added. 5. Closing the dialog, or - as demonstrated in the screencast below - clicking in another field, then back in the 'Add Reviewer' field, will enable a second reviewer to be added. Screencast demonstrating the problem:",0,0,,"```python
""NON_SATD"
Prompt_LLM,200,100,D1_to_D2,29,"Inspired by the thrift like framework we have in the company i work for, i think it would be really cool to have an omniprotocol that would recognize and dispatch to real underlying protocols the current message. This would allow having a single service able to process request from other services in an efficient binary protocol, but also serve queries coming over AJAX from the browser via HTTP POST + JSON. The output protocol will be the input one to get things easier, even if having an output parameter in the URI (in case of HTTP request) could be possible in the future. We have all the basics to get this feature running, the JSON protocol is fixed (THRIFT-244) and the THttpServer transport now exists for the C++ library (THRIFT-247)",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,30,"Consider the documentation page [Impala Conditional Multiple functions have ambiguous descriptions. For example: The above is confusing, it essentially means: ""Returns true if a Boolean expression is false or not."" This obviously means the function always returns false, which is not accurate. Reword to say: ""Returns true if the expression is false. Returns false if the expression is true or NULL."" Other ambiguous descriptions: Better: ""Returns true if an expression is true. Returns false if the expression is false or NULL."" Others: Better: ""Returns true if the expression is non-null, tase if the expression is null. Same as {{expression IS NOT NULL}}."" Better: ""Returns true if the expression is NULL, false otherwise. Same as {{expression IS NULL}}""",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,31,should be done in static. Thank Suresh for catching this.,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,32,1034: Allow cherry-picking or rebasing at submit time,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,200,100,D1_to_D2,33,"Since the crashes are collected by the Google Updater, the UI would need to be in that code. I think we'd need to file this with the Omaha team.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,34,"Marking the Bug as invalid... If you still encounter the same issue , please feel free to open a new bug.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,200,100,D1_to_D2,35,Clean up RemoteException,1,0,,"NON_SATD

Explanation: The"
