model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,5000,21,D1_to_D1,0,// TODO: Is this next line safe? What happens if there is just one // comment edge or a comment edge and a single message?,1,0,,"```python
# TODO: Is this"
Prompt_LLM,5000,21,D1_to_D1,1,// We must return a valid RDMS/RSA command from this method to // prevent RDMS/RSA from issuing *ERROR 400,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,2,// TODO: There's a cyclic dependency between FigConcurrentRegion and // the actions ActionAddConcurrentRegion,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,21,D1_to_D1,3,// Get the list of valid model item pairs for the given connection type,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,4,/** * Get value from current scope or one of its captured scopes. * * FIXME: block variables are not getting primed to nil so we need to null check those * until we prime them properly. Also add assert back in. * * @param offset zero-indexed value that represents where variable lives * @param depth how many captured scopes down this variable should be set * @return the value here */,1,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,21,D1_to_D1,5,// defer argument checking...,1,0,,"```python
def classify_comment(comment:"
Prompt_LLM,5000,21,D1_to_D1,6,// need to look it up from the persistence-context,0,0,,"```python
# The provided Python code"
Prompt_LLM,5000,21,D1_to_D1,7,// mark message as read,0,0,,"```python
# The provided Python code"
Prompt_LLM,5000,21,D1_to_D1,8,"// if Reply-To headerfield isn't specified, try to use from",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,9,//}}},0,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,21,D1_to_D1,10,//}}},0,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,21,D1_to_D1,11,// Should we match using regexes?,0,0,,"```python
# No specific Python code"
Prompt_LLM,5000,21,D1_to_D1,12,// There are one or more regions so find the one that the //vertex was dropped in,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,13,//}}},0,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,21,D1_to_D1,14,//$NON-NLS-1$,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,15,//{{{ setFontProperty() method,0,0,,"```python
""NON_SATD"
Prompt_LLM,5000,21,D1_to_D1,16,/** * Defines the methods to generate source code from the model. Each class * providing code generation functionality must implement this to be recognized * by ArgoUML as a code generator. * <p> * TODO: A GUI-independent mechanism to pass settings to the code generator is * needed similar to what we have for reverse engineering. See * {@link org.argouml.uml.reveng.ImportInterface#getImportSettings()} and * {@link org.argouml.uml.reveng.SettingsTypes} * * @since 0.20 when it replaced the FileGenerator interface. */,1,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,21,D1_to_D1,17,// TODO only clear the relevant entry - if possible...,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,18,// will have a trailing '.',0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,19,// Length to read,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,20,// CheckStyle:VisibilityModifier ON,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,21,// make sure we log the error,0,0,,"```python
# No Python code provided"
Prompt_LLM,5000,21,D1_to_D1,22,"//SPACES //TODO: i'm not sure, but perhaps we should exclude // abstract denormalized tables?",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,21,D1_to_D1,23,// 1. check whether the row is now empty.,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,24,// static field?,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,25,"// FIXME: we've cloned the chart, but the dataset(s) aren't cloned // and we should do that",1,0,,"```python
# The comment contains an"
Prompt_LLM,5000,21,D1_to_D1,26,// controlling // ------------------------------------------------------------------------,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,27,//silly hack to avoid stack overflow...,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,28,//// LEGEND ITEM LABEL GENERATOR //////////////////////////////////////////,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,29,/** * Create an EnumerationLiteral. * @return Object new Enumeration * @since UML 1.4 * TODO: This needs an extra parameter to specify the model/extent where * the new element should be created. */,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,21,D1_to_D1,30,// get headerfields,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,31,// end of inner class,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,32,// TODO - should LF-only EOL be allowed?,1,0,,"```python
# The comment ""TODO"
Prompt_LLM,5000,21,D1_to_D1,33,// create profile config file,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,21,D1_to_D1,34,"//StyleConstants.setBackground(saSetErrorHistory, Color.pink);",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,35,// succeeded,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D1,36,// START: check d0 and d1,0,0,,"```python
def classify_comment(comment):"
